"","siteID","mean_temp","datetime"
"180","BLAN",7.07278652777778,2017-11-01
"181","KONZ",7.90334490674319,2017-11-01
"182","ORNL",11.0022437130178,2017-11-01
"183","OSBS",18.2630952777778,2017-11-01
"184","SCBI",7.35042393282015,2017-11-01
"185","SERC",9.188720625,2017-11-01
"186","TALL",13.9299386331939,2017-11-01
"187","UKFS",7.75467705718271,2017-11-01
"188","BLAN",1.69535860215054,2017-12-01
"189","KONZ",0.799474327956989,2017-12-01
"190","ORNL",4.62979220430107,2017-12-01
"191","OSBS",14.8543234332425,2017-12-01
"192","SCBI",1.75965974462366,2017-12-01
"193","SERC",3.18270174731183,2017-12-01
"194","TALL",8.50570157894737,2017-12-01
"195","UKFS",0.888577021563342,2017-12-01
"196","BLAN",-0.0192721102150538,2018-01-01
"197","KONZ",-1.74060983146067,2018-01-01
"198","ORNL",1.12700275537634,2018-01-01
"199","OSBS",10.7273796769852,2018-01-01
"200","SCBI",0.110585654303709,2018-01-01
"201","SERC",0.517589587559162,2018-01-01
"202","TALL",4.82275148443157,2018-01-01
"203","UKFS",-2.34720344352617,2018-01-01
"204","BLAN",5.48948242740134,2018-02-01
"205","KONZ",-0.321072247023809,2018-02-01
"206","ORNL",9.5864415922619,2018-02-01
"207","OSBS",19.0665783482143,2018-02-01
"208","SCBI",7.07622344028521,2018-02-01
"209","SERC",6.10501324404762,2018-02-01
"210","TALL",13.7722339285714,2018-02-01
"211","UKFS",0.0105854354354354,2018-02-01
"212","BLAN",3.54104811827957,2018-03-01
"213","KONZ",6.97789528619529,2018-03-01
"214","ORNL",8.6511123655914,2018-03-01
"215","OSBS",16.2784147177419,2018-03-01
"216","SCBI",3.12861869090909,2018-03-01
"217","SERC",4.71915202057311,2018-03-01
"218","TALL",13.267465188172,2018-03-01
"219","UKFS",6.52444086021505,2018-03-01
"220","BLAN",10.4303063157895,2018-04-01
"221","KONZ",8.36681051156272,2018-04-01
"222","ORNL",12.348483903577,2018-04-01
"223","OSBS",19.6812763724809,2018-04-01
"224","SCBI",9.59506988873435,2018-04-01
"225","SERC",10.83015625,2018-04-01
"226","TALL",15.6425678969359,2018-04-01
"227","UKFS",8.48541500701262,2018-04-01
"228","BLAN",20.3420007472826,2018-05-01
"229","KONZ",22.4077702228224,2018-05-01
"230","ORNL",21.7550231299213,2018-05-01
"231","OSBS",23.2858527247956,2018-05-01
"232","SCBI",20.287276242236,2018-05-01
"233","SERC",20.7672386589404,2018-05-01
"234","TALL",23.5086383783784,2018-05-01
"235","UKFS",22.934315625,2018-05-01
"236","BLAN",21.420545625,2018-06-01
"237","KONZ",26.338951027027,2018-06-01
"238","ORNL",23.8089850249584,2018-06-01
"239","OSBS",25.8387763888889,2018-06-01
"240","SCBI",21.1364033379694,2018-06-01
"241","SERC",22.4299534398888,2018-06-01
"242","TALL",26.0226509335325,2018-06-01
"243","UKFS",25.4358273611111,2018-06-01
"244","BLAN",23.1388702830189,2018-07-01
"245","KONZ",25.8567022911051,2018-07-01
"246","ORNL",24.6240237002026,2018-07-01
"247","OSBS",26.081712184874,2018-07-01
"248","SCBI",22.9884205525606,2018-07-01
"249","SERC",24.7060519541779,2018-07-01
"250","TALL",26.4734016895459,2018-07-01
"251","UKFS",25.7954277059224,2018-07-01
"252","BLAN",23.0993152553763,2018-08-01
"253","KONZ",24.9450522528581,2018-08-01
"254","ORNL",23.6367963660834,2018-08-01
"255","OSBS",26.3801012096774,2018-08-01
"256","SCBI",23.3395830162086,2018-08-01
"257","SERC",25.0483228494624,2018-08-01
"258","TALL",25.4841756393001,2018-08-01
"259","UKFS",24.951339608637,2018-08-01
"260","BLAN",20.68667125,2018-09-01
"261","KONZ",20.9987914046122,2018-09-01
"262","ORNL",23.331525295344,2018-09-01
"263","OSBS",26.7865133333333,2018-09-01
"264","SCBI",19.2128748772504,2018-09-01
"265","SERC",22.3594740277778,2018-09-01
"266","TALL",25.477489609484,2018-09-01
"267","UKFS",21.4057977083333,2018-09-01
"268","BLAN",14.2497760080645,2018-10-01
"269","KONZ",12.1557959623149,2018-10-01
"270","ORNL",17.0613163446055,2018-10-01
"271","OSBS",23.3105504377104,2018-10-01
"272","SCBI",15.9103144784173,2018-10-01
"273","SERC",15.5097922554348,2018-10-01
"274","TALL",19.7956813216453,2018-10-01
"275","UKFS",13.0073055144586,2018-10-01
"276","BLAN",5.46008599303136,2018-11-01
"277","KONZ",2.81388111111111,2018-11-01
"278","ORNL",6.45725839028094,2018-11-01
"279","OSBS",17.6964582517483,2018-11-01
"280","SCBI",6.15022393258427,2018-11-01
"281","SERC",7.34655131944444,2018-11-01
"282","TALL",10.5433191285081,2018-11-01
"283","UKFS",2.84241481223922,2018-11-01
"284","BLAN",2.82151700268817,2018-12-01
"285","KONZ",1.58514130727763,2018-12-01
"286","ORNL",6.38774525495751,2018-12-01
"287","OSBS",15.0256160194175,2018-12-01
"288","SCBI",3.32858331090175,2018-12-01
"289","SERC",5.22944186827957,2018-12-01
"290","TALL",17.133979389313,2018-12-01
"291","UKFS",2.15519539295393,2018-12-01
"292","BLAN",0.556899379310345,2019-01-01
"293","KONZ",-1.51133016678753,2019-01-01
"294","ORNL",3.90436149193548,2019-01-01
"295","OSBS",13.3302580645161,2019-01-01
"296","SCBI",0.0692303934871099,2019-01-01
"297","SERC",1.81623555107527,2019-01-01
"298","TALL",13.3106,2019-01-01
"299","UKFS",-0.928209018830525,2019-01-01
"300","BLAN",3.06206592095451,2019-02-01
"301","KONZ",-3.14936951410658,2019-02-01
"302","ORNL",8.47617227204783,2019-02-01
"303","OSBS",18.4920415178571,2019-02-01
"304","SCBI",3.19995784929356,2019-02-01
"305","SERC",3.72413276836158,2019-02-01
"306","TALL",12.8244579194002,2019-02-01
"307","UKFS",-2.33822821742606,2019-02-01
"308","BLAN",4.77866278317152,2019-03-01
"309","KONZ",3.81630564516129,2019-03-01
