"","year","month","siteID","total_precip","datetime"
"161",2021,2,"OSBS",142.42,2021-02-01
"162",2021,3,"KONZ",31.04,2021-03-01
"163",2021,3,"ORNL",188.8,2021-03-01
"164",2021,3,"OSBS",147.86,2021-03-01
"165",2021,4,"KONZ",25.19,2021-04-01
"166",2021,4,"ORNL",65.41,2021-04-01
"167",2021,4,"OSBS",135.24,2021-04-01
"168",2021,5,"KONZ",86.92,2021-05-01
"169",2021,5,"ORNL",76.11,2021-05-01
"170",2021,5,"OSBS",49.8,2021-05-01
"171",2021,5,"TALL",111.39,2021-05-01
"172",2021,6,"KONZ",40.91,2021-06-01
"173",2021,6,"ORNL",111.57,2021-06-01
"174",2021,6,"OSBS",156.61,2021-06-01
"175",2021,6,"TALL",119.92,2021-06-01
"176",2021,7,"KONZ",96.31,2021-07-01
"177",2021,7,"ORNL",89.07,2021-07-01
"178",2021,7,"OSBS",216.1,2021-07-01
"179",2021,7,"TALL",54.27,2021-07-01
"180",2021,8,"KONZ",61.41,2021-08-01
"181",2021,8,"ORNL",168.77,2021-08-01
"182",2021,8,"OSBS",109.68,2021-08-01
"183",2021,8,"TALL",94.33,2021-08-01
"184",2021,9,"KONZ",72.06,2021-09-01
"185",2021,9,"ORNL",94.1,2021-09-01
"186",2021,9,"OSBS",125.98,2021-09-01
"187",2021,9,"TALL",87.23,2021-09-01
"188",2021,10,"KONZ",54.6,2021-10-01
"189",2021,10,"ORNL",132.72,2021-10-01
"190",2021,10,"OSBS",79.17,2021-10-01
"191",2021,10,"TALL",86.34,2021-10-01
"192",2021,11,"KONZ",28.14,2021-11-01
"193",2021,11,"ORNL",55.56,2021-11-01
"194",2021,11,"OSBS",100.93,2021-11-01
"195",2021,11,"TALL",71.09,2021-11-01
"196",2021,12,"KONZ",0.91,2021-12-01
"197",2021,12,"ORNL",73.18,2021-12-01
"198",2021,12,"OSBS",116.96,2021-12-01
"199",2021,12,"TALL",50.41,2021-12-01
"200",2022,1,"ORNL",41.27,2022-01-01
"201",2022,1,"OSBS",83.24,2022-01-01
"202",2022,1,"TALL",131.64,2022-01-01
"203",2022,2,"ORNL",172.03,2022-02-01
"204",2022,2,"OSBS",120.97,2022-02-01
"205",2022,2,"TALL",166,2022-02-01
"206",2022,3,"KONZ",25.03,2022-03-01
"207",2022,3,"ORNL",42.32,2022-03-01
"208",2022,3,"OSBS",278.66,2022-03-01
"209",2022,3,"TALL",154.78,2022-03-01
"210",2022,4,"KONZ",16.38,2022-04-01
"211",2022,4,"ORNL",138.35,2022-04-01
"212",2022,4,"OSBS",142.73,2022-04-01
"213",2022,4,"TALL",131.66,2022-04-01
"214",2022,5,"KONZ",84.6,2022-05-01
"215",2022,5,"ORNL",135.16,2022-05-01
"216",2022,5,"OSBS",145.31,2022-05-01
"217",2022,5,"TALL",84.08,2022-05-01
"218",2022,6,"KONZ",98.78,2022-06-01
"219",2022,6,"ORNL",73.6,2022-06-01
"220",2022,6,"OSBS",134.79,2022-06-01
"221",2022,6,"TALL",28.44,2022-06-01
"222",2022,7,"KONZ",97.59,2022-07-01
"223",2022,7,"ORNL",263.11,2022-07-01
"224",2022,7,"OSBS",164.58,2022-07-01
"225",2022,7,"TALL",52.7,2022-07-01
"226",2022,8,"KONZ",56.15,2022-08-01
"227",2022,8,"ORNL",65.04,2022-08-01
"228",2022,8,"OSBS",211.74,2022-08-01
"229",2022,8,"TALL",110.17,2022-08-01
"230",2022,9,"KONZ",68.39,2022-09-01
"231",2022,9,"ORNL",89.51,2022-09-01
"232",2022,9,"TALL",47.39,2022-09-01
"233",2022,10,"KONZ",56.53,2022-10-01
"234",2022,10,"ORNL",38.2,2022-10-01
"235",2022,10,"OSBS",41.97,2022-10-01
"236",2022,10,"TALL",76.53,2022-10-01
"237",2022,11,"KONZ",48.27,2022-11-01
"238",2022,11,"ORNL",66.6,2022-11-01
"239",2022,11,"OSBS",96.64,2022-11-01
"240",2022,11,"TALL",102.99,2022-11-01
"241",2022,12,"KONZ",14.21,2022-12-01
"242",2022,12,"ORNL",110.52,2022-12-01
"243",2022,12,"TALL",87.65,2022-12-01
"244",2023,1,"KONZ",12.55,2023-01-01
"245",2023,1,"ORNL",91.52,2023-01-01
"246",2023,1,"OSBS",55.15,2023-01-01
"247",2023,1,"TALL",167.72,2023-01-01
"248",2023,2,"KONZ",19.63,2023-02-01
"249",2023,2,"ORNL",90.72,2023-02-01
"250",2023,2,"OSBS",105.39,2023-02-01
"251",2023,2,"TALL",150.11,2023-02-01
"252",2023,3,"KONZ",15.45,2023-03-01
"253",2023,3,"ORNL",114.06,2023-03-01
